year_month,industry,ratio,country
202206,K-나이트컬처,1.41,일본
202206,K-스포츠,0.45,일본
202206,K-공연,0.4,일본
202207,K-라이프스타일푸드,47.57,일본
202207,K-쇼핑,24.2,일본
202207,K-한식,15.46,일본
202207,K-뷰티웰니스,5.09,일본
202207,K-패션,3.99,일본
202207,K-문화체험,1.32,일본
202207,K-나이트컬처,1.42,일본
202207,K-스포츠,0.49,일본
202207,K-공연,0.47,일본
202208,K-라이프스타일푸드,44.86,일본
202208,K-쇼핑,25.44,일본
202208,K-한식,14.72,일본
202208,K-뷰티웰니스,5.87,일본
202208,K-패션,5.25,일본
202208,K-문화체험,1.79,일본
202208,K-나이트컬처,1.27,일본
202208,K-스포츠,0.45,일본
202208,K-공연,0.35,일본
202209,K-라이프스타일푸드,45.53,일본
202209,K-쇼핑,24.51,일본
202209,K-한식,15.24,일본
202209,K-뷰티웰니스,5.49,일본
202209,K-패션,5.76,일본
202209,K-문화체험,1.7,일본
202209,K-나이트컬처,1.22,일본
202209,K-스포츠,0.33,일본
202209,K-공연,0.22,일본
202210,K-라이프스타일푸드,43.53,일본
202210,K-쇼핑,23.98,일본
202210,K-한식,15.22,일본
202210,K-뷰티웰니스,6.1,일본
202210,K-패션,7.83,일본
202210,K-문화체험,1.66,일본
202210,K-나이트컬처,1.19,일본
202210,K-스포츠,0.29,일본
202210,K-공연,0.19,일본
202211,K-라이프스타일푸드,41.77,일본
202211,K-쇼핑,24.09,일본
202211,K-한식,15.9,일본
202211,K-뷰티웰니스,6.63,일본
202211,K-패션,8.3,일본
202211,K-문화체험,1.61,일본
202211,K-나이트컬처,1.19,일본
202211,K-스포츠,0.29,일본
202211,K-공연,0.22,일본
202212,K-라이프스타일푸드,39.41,일본
202212,K-쇼핑,25.78,일본
202212,K-한식,15.34,일본
202212,K-뷰티웰니스,7.21,일본
202212,K-패션,9.14,일본
202212,K-문화체험,1.5,일본
202212,K-나이트컬처,1.06,일본
202212,K-스포츠,0.28,일본
202212,K-공연,0.29,일본
202301,K-라이프스타일푸드,38.58,일본
202301,K-쇼핑,26.68,일본
202301,K-한식,15.11,일본
202301,K-뷰티웰니스,7.34,일본
202301,K-패션,9.25,일본
202301,K-문화체험,1.42,일본
202301,K-나이트컬처,1.02,일본
202301,K-스포츠,0.29,일본
202301,K-공연,0.31,일본
202302,K-라이프스타일푸드,37.7,일본
202302,K-쇼핑,25.89,일본
