visitor_count,visitor_lag1,visitor_lag2,visitor_lag3,visitor_mom_growth,visitor_3m_avg,visitor_6m_avg,visitor_vs_3m_avg,visitor_rolling_std,country_share,buzz_volume,engagement,potential_exposure,buzz_mom_growth,engagement_mom_growth,exposure_mom_growth,engagement_per_visitor,buzz_per_visitor,buzz_vs_3m_avg,positive_pct,negative_pct,month,quarter,is_peak_season,exchange_rate,oil_price,priority_label
416849.0,340860.0,364460.0,306787.0,0.22293316904300886,337369.0,354164.3333333333,1.235587739241009,28994.551953772454,0.37341186482431193,41406,36768,662081,-0.09185419134096591,-0.28576701179121583,0.0,0.08820460166631082,0.0993309327838138,0.8676380196691998,73.79857256145917,26.201427438540843,3,1,1,201.68,72.49,Medium
443230.0,416849.0,340860.0,364460.0,0.06328670573756924,374056.3333333333,353171.0,1.1849284733404684,38892.7916243273,0.41395586886556496,36356,62521,662081,-0.12196300053132396,0.7004188424717145,0.0,0.1410576901383029,0.08202513367777452,0.7944004195315231,75.62178685563428,24.378213144365706,4,2,1,197.7,67.74,High
484390.0,443230.0,416849.0,340860.0,0.09286375019741444,400313.0,361671.0,1.2100281529703008,53150.575697728906,0.43639721615351695,37502,130911,446904,0.03152161954010342,1.0938724588538251,-0.32500101951271826,0.2702595016412395,0.07742108631474638,0.9120431920619995,71.57353628413111,28.426463715868884,5,2,1,191.88,63.73,High
477052.0,484390.0,443230.0,416849.0,-0.015148950226057516,448156.3333333333,392762.6666666667,1.064476756250981,34038.92243202397,0.41431335697933347,43050,156383,446904,0.1479387765985814,0.19457494022656613,0.0,0.32781122393365925,0.09024173465366458,1.1204712659633536,74.1335636154289,25.866436384571102,6,2,0,189.16,69.26,Medium
602147.0,477052.0,484390.0,443230.0,0.2622250823809564,468224.0,421140.1666666667,1.2860233563422636,21954.19294804552,0.46416653497936045,42723,132593,446904,-0.007595818815331011,-0.15212650991476057,0.0,0.22020038296296418,0.07095111326636187,1.096323604885893,66.35614475098531,33.64385524901469,7,3,0,192.68,70.87,High
604618.0,602147.0,477052.0,484390.0,0.004103649108938515,521196.3333333333,460754.6666666667,1.1600580459442986,70201.2776688099,0.4473187935625299,40667,101335,446904,-0.04812396133230344,-0.2357439683844547,0.0,0.1676016923082012,0.0672606505264481,0.9896653822754006,71.97851863667783,28.021481363322167,8,3,0,194.14,69.39,High
503186.0,604618.0,602147.0,477052.0,-0.16776212418419564,561272.3333333334,504714.3333333333,0.8965095375566347,72947.41167672329,0.42233148236431634,39898,196155,446904,-0.018909681068187967,0.9357082942714758,0.0,0.3898260285461042,0.07929075928185601,0.9466466308130339,73.99105471187852,26.008945288121488,9,3,1,196.82,70.01,High
472477.0,503186.0,604618.0,602147.0,-0.06102912243186416,569983.6666666666,519103.8333333333,0.8289307705308515,57861.668350759996,0.41303180980554655,38169,109584,446904,-0.04333550553912477,-0.44133975682495985,0.0,0.2319350994863242,0.08078488476687753,0.9287765232626046,68.8479403807871,31.152059619212903,10,4,1,200.45,65.0,Medium
377866.0,472477.0,503186.0,604618.0,-0.2002446679944209,526760.3333333334,523978.3333333333,0.7173395111375761,69152.89483697223,0.34942135462662,34132,103182,446904,-0.10576645969242054,-0.0584209373631187,0.0,0.27306505480778903,0.09032831744586706,0.8623983020870181,68.99163463712412,31.00836536287588,11,4,0,207.05,64.47,High
393834.0,377866.0,472477.0,503186.0,0.04225836672259478,451176.3333333333,506224.3333333333,0.8729048287846068,65318.943655981995,0.37994730591607345,31341,55147,446904,-0.0817707722957928,-0.4655366246050668,0.0,0.14002600080236852,0.07957921357729399,0.838002121231027,73.60409421953939,26.3959057804606,12,4,0,204.76,62.05,High
